site_name,long_name,lat,lon,coord_datum,alt,alt_datum,site_type,COMID,VPU,ndays,nyears,Azimuth,tree_height,Width,PAR_sum,Stream_PAR_sum,ann_GPP_C,ann_ER_C,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,MOD_ann_NPP,dvqcoefs.c,dvqcoefs.f,dvqcoefs.a,dvqcoefs.b,dvqcoefs.k,dvqcoefs.m,struct.canal_flag,struct.dam_flag,struct.npdes_flag,slope_calc,HYRIV_ID,HydroATLAS_near_dist_m,HydroATLAS_dis_m3_pyr,HydroATLAS_run_mm_cyr,HydroATLAS_ria_ha_csu,HydroATLAS_ele_mt_cav,HydroATLAS_ele_mt_cmn,HydroATLAS_ele_mt_cmx,HydroATLAS_slp_dg_cav,HydroATLAS_slp_dg_uav,HydroATLAS_sgr_dk_rav,HydroATLAS_tmp_dc_cyr,HydroATLAS_tmp_dc_uyr,HydroATLAS_tmp_dc_c01,HydroATLAS_tmp_dc_c02,HydroATLAS_tmp_dc_c03,HydroATLAS_tmp_dc_c04,HydroATLAS_tmp_dc_c05,HydroATLAS_tmp_dc_c06,HydroATLAS_tmp_dc_c07,HydroATLAS_tmp_dc_c08,HydroATLAS_tmp_dc_c09,HydroATLAS_tmp_dc_c10,HydroATLAS_tmp_dc_c11,HydroATLAS_tmp_dc_c12,HydroATLAS_pre_mm_cyr,HydroATLAS_pre_mm_uyr,HydroATLAS_pre_mm_c01,HydroATLAS_pre_mm_c02,HydroATLAS_pre_mm_c03,HydroATLAS_pre_mm_c04,HydroATLAS_pre_mm_c05,HydroATLAS_pre_mm_c06,HydroATLAS_pre_mm_c07,HydroATLAS_pre_mm_c08,HydroATLAS_pre_mm_c09,HydroATLAS_pre_mm_c10,HydroATLAS_pre_mm_c11,HydroATLAS_pre_mm_c12,HydroATLAS_ari_ix_cav,HydroATLAS_ari_ix_uav,HydroATLAS_glc_cl_cmj,HydroATLAS_wet_pc_cg2,HydroATLAS_wet_pc_ug2,HydroATLAS_for_pc_cse,HydroATLAS_for_pc_use,HydroATLAS_crp_pc_cse,HydroATLAS_crp_pc_use,HydroATLAS_ppd_pk_cav,HydroATLAS_ppd_pk_uav,HydroATLAS_rdd_mk_cav,HydroATLAS_rdd_mk_uav,HydroATLAS_hdi_ix_cav,HydroATLAS_urb_pc_cse,HydroATLAS_urb_pc_use,NHD_GNIS_NAME,NHD_FTYPE,NHD_FCODE,NHD_QE_MA,NHD_VE_MA,NHD_near_dist_m,NHD_CatPctFull_PopDens,NHD_WsPctFull_PopDens,NHD_CatPctFull_RoadDens,NHD_WsPctFull_RoadDens,NHD_CatPctFull_ImpSurf,NHD_WsPctFull_ImpSurf,NHD_PctImp2011Ws,NHD_CatPctFull_NLCD2011,NHD_WsPctFull_NLCD2011,NHD_PctWdWet2011Ws,NHD_PctHbWet2011Ws,IGBP_LC_Type1Class2018,IGBP_LU_category,US_state,region,reach_proportion,NHD_STREAMORDE,NHD_HYDROSEQ,NHD_STARTFLAG,NHD_REACHCODE,NHD_AREASQKM,NHD_TOTDASQKM,NHD_LENGTHKM,NHD_SLOPE,NHD_SLOPELENKM,NHD_TIDAL,NHD_MAXELEVSMO,NHD_MINELEVSMO,NHD_AREASQKM_corr,NHD_TOTDASQKM_corr,areal_corr_factor,ElevWs,PrecipWs,TminWs,TmaxWs,TmeanWs,RunoffWs,PctOw2001Ws,PctIce2001Ws,PctUrbOp2001Ws,PctUrbLo2001Ws,PctUrbMd2001Ws,PctUrbHi2001Ws,PctBl2001Ws,PctDecid2001Ws,PctConif2001Ws,PctMxFst2001Ws,PctShrb2001Ws,PctGrs2001Ws,PctHay2001Ws,PctCrop2001Ws,PctWdWet2001Ws,PctHbWet2001Ws,HUDen2010Ws,PopDen2010Ws,SN_2008Ws,NO3_2008Ws,InorgNWetDep_2008Ws,NH4_2008Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,DamNIDStorWs,DamNrmStorWs,NABD_NIDStorWs,NABD_NrmStorWs,DamDensWs,SuperfundDensWs,NPDESDensWs,TRIDensWs,RdDensWs,NABD_DensWs,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs,CBNFWs,FertWs,ManureWs,WtDepWs,OmWs,PermWs,RckDepWs,BFIWs,HydrlCondWs,NWs,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,P2O5Ws,SWs,SiO2Ws,precip_runoff_ratio
nwis_023432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",31.62138889,-85.06,NAD83,0,NGVD29,ST,2306737,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.336748426190847,0.438372668411122,70.072857411724,0.0716273315888775,0.0423784041022038,0.490000000000001,NA,NA,NA,0.019337142,70771411,80.11723461,287.196,461,35.778,68,45,116,9,25,48,188,166,90,108,150,189,228,260,271,269,247,193,143,105,1321,1354,127,131,143,101,97,116,143,112,87,58,84,121,91,99,4,0,0,70,79,13,7,3.769,148.441,337,1420,921,0,14,Chattahoochee River,ArtificialPath,55800,9990.256,3.78607,123.8779028,100,100,100,100,100,100,4.270520581,100,100,3.370103642,0.234536888,8,grassland,Alabama,AL,0.497078,7,290002814,0,03130004000139,1.5939,19331.0316,1.207,0.01057166,1.207,0,4679,3403,0.79229,19330.22999,0.99995853247687,230.9818,NA,NA,NA,NA,501.7023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.163,146.0962,423.0912,6.3847,2.8434,1.8089,3.02,0,7.54,5.61,2.73,1.27,0.19,21.75,24.03,10.82,4.95,4.25,7.6,1.4,4.72,0.13,300265.9338,247882.3725,296692.8714,246473.2676,0.0411,0.0057,0.0022,0.0292,NA,0.0269,1.13,65.26,0,22.25,0,1.88,0,0,0,0,0,0,0,0,0,5.97,0,3.51,0.3178,3.4361,13.4147,NA,NA,NA,NA,52.9716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02397530,"COOSA RIVER AT STATE LINE, AL/GA",34.20176124,-85.447458,NAD83,549.5,NAVD88,ST,15823427,03W,806,3,276.4852818703499,0.5,96.1644,13.436093979873599,13.361706203102404,526.3700137335912,-767.1804703529992,19.25,0.24,0.01,-0.02,1.37,209.58719141338793,0.919,174.98,0.48,0.44,0.27,0.71,37.718368211063655,0.947,36.78,0.24,0.02,0.04,1.18,180.08696500157652,0.364,1.19,0.34,0.1,-0.1,1.39,186.13612244692675,0.877,622.2727272727274,0.244784112,0.488343462,50.74922494,0.091656538,0.0804984207086561,0.42,95,0,0,0,70715709,35.75969487,216.855,562,85.008,175,167,196,9,42,5,156,147,45,65,109,156,198,239,258,253,221,158,105,62,1386,1438,133,127,164,131,112,101,121,91,101,78,102,127,102,112,16,0,0,38,88,22,12,9.922,97.469,74,979,825,0,9,Coosa River,ArtificialPath,55800,7359.952,1.55955,10.96051828,100,100,100,100,100,100,3.04913823,100,100,0.601112188,0.074939969,8,grassland,Alabama,AL,0.33881000000000006,7,290005209,0,03150105000100,1.674,11303.4474,1.215,3.292e-5,1.215,0,17200,17196,0.56717,11302.340569999998,0.9999020803157804,330.4579,NA,NA,NA,NA,616.3144,1.21,0,9.04,4.32,1.8,0.77,0.16,32.99,13.97,14.81,2.52,3.4,13.13,1.17,0.54,0.16,38.2562,96.4056,479.1848,6.8543,3.1721,2.0971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164495.4338,141288.2619,107831.7359,86557.8602,0.0441,0.0058,0.0022,0.0318,NA,0.0309,40.07,37.33,0,9.67,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5538,3.4147,20.9577,NA,NA,NA,NA,53.0583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02423130,"CAHABA RIVER AT TRUSSVILLE, AL.",33.62232504,-86.599431,NAD83,673.3,NGVD29,ST,21654166,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463419202926723,0.478762100378419,7.59093299659459,0.171237899621581,0.284269860299091,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,0.954492,3,290023169,0,03150202000373,4.8321,51.8139,3.047,0.00215621,3.047,0,21377,20720,4.6122,51.593999999999994,0.9957559650981685,296.4858,1444.4347436229514,-0.3879835400518989,22.124982354593037,16.32698839189794,577.7459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.871,160.659,537.8125,7.4852,3.6133,2.4805,0.88,0,11.88,7.38,3.84,1.08,0.13,53.55,3.42,5.96,1.06,3.15,7.43,0.01,0.23,0,42517.4573,35923.2044,42517.4573,35923.2044,0.0579,0,0.0193,0,NA,0.0579,47.81,52.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4104,1.5401,0.0343,171.6279,0.4495,5.1113,126.6359,38.6102,0.088,0.0563,4.9408,21.2412,2.0511,1.0884,3.9763,0.4341,0.1729,0.2311,38.2508,2.5001211494931446
nwis_02423160,CAHABA RIVER NEAR WHITES CHAPEL AL,33.60371416,-86.5491517,NAD83,NA,NA,ST,21654200,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419929311,0.452765305,9.86323509,0.157234695,0.241437333488742,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,0.585828,4,290018242,0,03150202000366,1.0782,132.2163,1.824,0.00323464,1.824,0,17657,17067,0.63164,131.76973999999998,0.9966225041844311,271.5662,NA,NA,NA,NA,575.3105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.179,178.2869,531.1414,7.4138,3.5678,2.4426,1.12,0,11.93,9.27,5.11,1.57,0.18,47.21,4.21,6.17,1.4,2.93,8.06,0,0.82,0.02,36001.6074,26551.0688,34182.402,25244.9727,0.0908,0,0.0076,0.0454,NA,0.0756,38.06,61.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4262,1.6039,1.535,170.8976,0.4702,4.6345,116.8552,38.682,0.0868,0.0698,5.3707,19.8549,2.1118,1.1443,3.838,0.4512,0.1728,0.2427,39.1471,NA
nwis_02423397,"LITTLE CAHABA RIVER BELOW LEEDS, AL.",33.53454886,-86.5624847,NAD83,595.5,NGVD29,ST,21654312,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431676518723073,0.478172745512729,7.00560864883373,0.171827254487271,0.330670689932512,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,0.03867799999999999,2,290047179,0,03150202001675,0.5067,43.4655,0.913,0.00202628,0.913,0,18484,18299,0.0196,42.9784,0.9887934108660893,217.4493,NA,NA,NA,NA,578.0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.0882,271.8431,507.7296,7.186,3.4131,2.3094,0.29,0,18.33,16.38,11.07,3.5,1.2,24.7,6.59,6.01,0.95,2.48,7.26,0.02,1.2,0.02,0,0,0,0,0,0.092,0.023,0.2991,6.1467,0,92.51,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4872,1.8652,8.8006,164.0617,0.4507,3.7441,120.9381,37.5128,0.0434,0.0551,2.8071,29.6018,1.5052,0.6935,6.7991,0.2997,0.1354,0.1381,23.096,NA
nwis_02423496,"CAHABA RIVER NEAR HOOVER, AL",33.3692767,-86.7841551,NAD83,379.56,NGVD29,ST,21655568,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379290198350982,0.461034480440147,15.6613120027397,0.148965519559852,0.168345006451406,0.390000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,0.15545799999999999,5,290010840,0,03150202000324,1.8828,587.1618,2.136,7.3501e-4,2.136,0,12031,11874,0.2927,585.5717,0.9972918878578273,221.8387,NA,NA,NA,NA,573.6834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.5043,248.5686,510.8168,7.281,3.4401,2.3164,1.52,0,14.85,11.17,6.86,1.41,0.25,37.27,9.28,8.13,1.52,2.09,5.11,0,0.52,0.02,83513.2053,72456.9594,82204.4382,71459.1032,0.0664,0.0136,0.0085,0.0375,NA,0.0596,40.47,59.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3037,1.1833,2.7798,172.021,0.5177,4.2307,105.1462,36.9662,0.1097,0.1542,6.3425,11.6104,2.2696,1.3052,3.2963,0.4872,0.1567,0.2853,45.0002,NA
nwis_02455980,TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL,33.71121273,-86.6961013,NAD83,501.69,NGVD29,ST,18565735,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422023328875307,0.450543716178598,8.23798012564732,0.159456283821402,0.287635709029271,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,0.430705,4,290021564,0,03160111000115,6.5943,74.7459,6.378,0.00494355,6.378,0,17687,14534,2.8402,70.99180000000001,0.9497751716147642,245.3685,NA,NA,NA,NA,614.8169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.2465,337.2602,534.8497,7.5113,3.6051,2.4623,0.43,0,16.85,12.29,4.36,0.72,0.28,45.64,4.43,6.07,2.96,1.39,4.13,0,0.43,0.02,6188.3662,4538.1352,6188.3662,4538.1352,0.0669,0.0268,0.0134,0,NA,0.0669,75.79,24.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2341,0.878,0,153.7304,0.4186,4.344,132.8179,39.9862,0.0673,0.0658,2.3805,28.1858,1.204,0.5518,7.6189,0.2535,0.0817,0.0918,25.4281,NA
nwis_02457595,"FIVEMILE CREEK NEAR REPUBLIC, AL",33.5970492,-86.8680483,NAD83,NA,NA,ST,18566081,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402855055220217,0.452805597603524,9.75181366164825,0.157194402396476,0.254545713551512,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,0.760826,3,290020111,0,03160111000043,1.485,133.4754,1.981,0.00204442,1.981,0,12606,12201,1.12983,133.12023000000002,0.9973390602313236,206.2852,NA,NA,NA,NA,616.4241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.065,490.0964,515.1447,7.4207,3.4904,2.3406,0.5,0,24.56,20.19,10.75,4.21,1.14,16.15,8.49,10.3,1.18,1.36,1.03,0,0.14,0.01,3086.5787,2365.7609,3086.5787,2365.7609,0.015,0.0599,0.0075,0.1498,NA,0.015,55.76,44.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505,0.1894,0,154.4742,0.4902,3.7721,110.0387,39.1568,0.0967,0.1454,4.0983,18.2577,1.6514,0.8754,6.2782,0.3342,0.1076,0.2108,33.529,NA
nwis_02458450,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",33.5176059,-86.8791584,NAD83,505.16,NGVD29,ST,18566201,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365711635148578,0.451693194368719,8.63756741490447,0.158306805631281,0.316570011736477,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,0.20196200000000009,2,290042536,0,03160111000021,16.8075,101.6379,4.754,0.00145982,4.754,0,15934,15240,3.39448,88.22488,0.8680313150901386,198.0812,NA,NA,NA,NA,621.0098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.1412,673.0429,499.3618,7.3018,3.3883,2.2436,0.18,0,17.63,31.39,24.2,15.83,0.92,3.15,1.05,3.55,0.14,0.2,1.65,0,0.11,0.01,1820.4036,1456.3229,364.0807,242.7205,0.0197,0.1181,0.0394,0.5215,12.9375,0.0098,96.45,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478,0.1793,0,115.1334,0.47,2.8559,101.2325,37.1875,0.0735,0.0956,2.9191,21.6261,1.3836,0.7661,10.8342,0.2651,0.0898,0.1477,26.931,NA
nwis_02469100,TOMBIGBEE RIVER AT PENNINGTON AL,32.2376437,-88.0083498,NAD83,NA,NA,ST,18546622,03W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,grassland,Alabama,AL,0,7,290002985,0,03160201000136,24.9732,44301.4848,5.409,1e-5,5.409,0,1069,1069,0,44276.5116,0.9994362897741974,119.3052,1421.19189433104,-0.2070342315459273,23.17729023852744,16.786236148171554,598.0739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8746,30.5998,512.575,7.984,3.6599,2.3953,1.73,0,4.14,2.14,0.9,0.3,0.19,16.36,18.48,13.39,4.99,3.88,15.73,3.38,13.24,1.14,95649.2469,75079.9463,96807.6944,77441.3766,0.0267,0.0018,9e-4,0.0118,NA,0.0127,19.09,57.87,0,0,0,0.16,0,0,0,0,0,0,0,0,0,22.41,0,0.47,1.0666,4.8482,7.9791,NA,NA,NA,NA,35.6794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3762814166126294
